False,"For the first time in U.S. history, a one-year-old appears in court as a defendant.",Viral image,none,10,38,1,3,72
Half-True,"Says Joe Biden ""voted for the Iraq War, for mass incarceration, and for the Bankruptcy Reform Act while voting against gay marriage, reproductive rights, and school desegregation.""",Justice Democrats,none,0,0,1,0,0
Pants on Fire!,Says Hillary Clinton said in an email that she didn’t want Michelle Obama at the same events as her.,Viral image,none,10,38,1,3,72
Pants on Fire!,"Quotes George Soros as saying ""I’ve made my life’s mission to destroy the United States. I hate this country and I hate all of the people in it!""",Facebook posts,none,17,46,16,13,67
Mostly False,"""Our road conditions cost WI families. In Milwaukee, the average cost per driver is $2,300.""",LaTonya Johnson,Democrat,1,0,0,0,0
True,"""Big pharmaceuticals pay off — they literally pay off — generics to keep the prices and the competition off the market.""",Amy Klobuchar,Democrat,0,1,1,5,0
Half-True,California is leading the nation in holding drug companies accountable and fighting prescription drug prices.,Gavin Newsom,Democrat,2,1,4,5,0
True,"Says ""5 out of 10"" GOP candidates don’t live in North Carolina’s 9th Congressional District.",Stony Rushing ,Republican,0,0,0,0,0
False,"Florida state senators ""are pushing a new government program that allows prescription drugs from China without FDA inspection.""",The Partnership for Safe Medicines,None,0,1,0,0,0
Mostly True,"""Most of home care is paid by government programs.""",John Delaney,none,0,0,0,1,0
Pants on Fire!,"""Border guards found 52 tons of guns and ammunition in 14 Conex containers disguised as furniture. This ‘furniture’ is from Muslim immigrants who have come to America""",Viral image,none,10,38,1,3,72
Pants on Fire!,"""There are statistics out there that show the number of women who died from illegal abortions prior to Roe v. Wade, that number has skyrocketed since with women dying more with legal abortions.""",Nick Schroer,Republican,0,0,0,1,1
False,"""Every county in the state of Texas has a veterans court.""",Dave Griffith,Republican,0,1,0,0,0
Mostly False,"Says he has ""more executive experience than the vice president.""",Pete Buttigieg,none,1,0,1,1,0
True,"""In my own state of Vermont, from the very first days of our state's history, what our Constitution says is that everybody can vote. That is true. So people in jail can vote.""",Bernie Sanders,Independent,21,15,32,46,0
True,"""I was the only member of the Senate – Republican or Democrat – who has consistently voted against efforts to use the so called ‘nuclear option’ to change the rules of the Senate.""",Joe Manchin,Democrat,1,2,2,8,0
True,"""West Virginia’s exports increased for the second year in a row in 2018, reaching $8.1 billion. Additionally, West Virginia’s export growth rate was 14.2%, nearly double the national average of 7.6%.""",West Virginia Republican Party,Republican,0,0,1,4,0
True,"""Our state has fewer science, technology, engineering and math graduates than any neighboring state.""",E. Gordon Gee,None,0,1,1,1,0
Mostly True,"Small businesses in West Virginia make up ""99 percent of the total number of businesses in the state"" and employ ""nearly 50 percent of the state’s workforce.""",Nikki Bowmar,None,0,0,0,1,0
Mostly True,"""It is estimated that more than 20 veterans die by suicide every day.""",Joe Manchin,Democrat,1,2,2,8,0
False,"""The majority of women are minimum wage workers.""",Kamala Harris,Democrat,2,4,3,8,0
Pants on Fire!,"Russia’s interference in the 2016 election amounted to ""a couple of Facebook ads.""",Jared Kushner,none,1,0,0,0,1
Half-True,"Says Gov. Tony Evers' budget includes tax and fee increases even while spending ""more on his way to a nearly $2 billion deficit.""",David Craig,Republican,0,0,1,0,0
True,"""Since 2011, we have documentation of 1,671 dead bodies we have recovered in Texas, many in Brooks County.""",Dan Patrick,Republican,5,4,4,6,6
True,"""The 2008 election was the first election in which voters of color comprised over 25 percent of the electorate, and that number is going up.""",Mac Heller,none,0,0,0,0,0
Pants on Fire!,"An image of a woman buried up to her neck and drinking a spoonful of water was from Iran and taken just before she was ""stoned to death"" under Sharia Law.",Viral image,none,10,38,1,3,72
True,"""Currently, 23 percent of our military's infrastructure is graded as 'poor' while 9 percent is 'failing.'""",Allen Thomas,Democrat,0,0,0,0,0
Mostly True,"""Disparities in infant mortality between white America and black America (are) greater today, in 2019,  than in the year 1850...""",Beto O'Rourke,Democrat,2,1,6,4,0
False,"""The White House fully cooperated with the Special Counsel’s investigation.""",William Barr,none,0,1,0,0,0
Pants on Fire!,"Says ""combined doses of vaccines"" have never been tested.",Facebook posts,none,17,46,16,13,67
Pants on Fire!,A PETA activist was taped to a tree after protesting a biker rally.,Viral image,none,10,38,1,3,72
Half-True,"Says Jimmy Carter was the last ""U.S. president to say flat out those (Israeli) settlements are illegal.""",Marianne Williamson,none,0,0,2,0,0
Half-True,"In 2017, the first piece of legislation that Republicans passed ""made it easier for the mentally ill to purchase guns.""",Eric Swalwell,none,0,0,2,0,0
Mostly False,"""In almost every state with an income tax, wealthy people pay a higher tax rate than the middle class.""",Think Big Illinois,none,1,0,0,0,0
Mostly True,"""There is $50 billion a year wasted in the Medicare program.""",Tim Ryan,Democrat,0,0,0,8,1
False,"""No, we do not have laws in place protecting babies who are born alive as the result of an abortion.""",Joyce Krawiec,Republican,0,1,0,0,0
Half-True,"""It's clear in our country right now, almost half of American families are a $400 unexpected expense away from complete upheaval.""",Kamala Harris,Democrat,2,4,3,8,0
True,"""There have been zero reported instances of any child born alive after an abortion in Texas.""",Donna Howard,Democrat,1,0,1,3,0
Pants on Fire!,"Says Sen. Kamala  Harris ""introduced a bill today to forbid a police officers from drawing his/her gun without permission from their supervisor.""",Viral image,none,10,38,1,3,72
Mostly True,"Says SJR 11 ""seeks to fix what is very quickly becoming a problem in Missouri — initiative petitions and referendums are being filed at record highs.""",Eric Burlison,Republican,0,0,0,1,0
Pants on Fire!,"Says Donald Trump wrote in his book, ""Being an atheist gives me an edge in every deal. Christians are too moral for business.""",Facebook posts,none,17,46,16,13,67
True,"The Affordable Care Act ""provided over 200,000 West Virginians with health care coverage.""",West Virginia Democratic Party,Democrat,1,0,1,0,0
Mostly False,"""Fifty-two counties have average taxes of above the SALT $10,000 cap.""",Andrew Cuomo,Democrat,5,3,5,2,0
Pants on Fire!,A photo shows Muslims laughing in front of a burning Notre Dame.,Viral image,none,10,38,1,3,72
Mostly False,"Says President Donald Trump's ""effort to roll back regulations means that Big Ag now gets to inspect its own pork"" and ""they decided to stop testing for E. coli.""",Tulsi Gabbard,Democrat,2,0,0,1,0
True,"""Wisconsin (has) the highest infant mortality rate for black babies nationwide.""",Shelia Stubbs,Democrat,0,0,0,0,0
Pants on Fire!,"A video clip from the Notre Dame cathedral fire shows a man walking alone in a tower of the church ""dressed in Muslim garb.""",Facebook posts,none,17,46,16,13,67
True,"""Like every budget passed by the Senate since I have been lieutenant governor, Senate Bill 1 is within the spending limit set by the Texas Constitution.""",Dan Patrick,Republican,5,4,4,6,6
True,"Says all North Carolina teachers do not currently get a ""duty free lunch break.""",John Torbett,Republican,0,0,0,0,0
False,"""The states that have passed (campus carry laws) have seen enrollment drop significantly.""",Andrew Byrd,Democrat,0,1,0,0,0
Mostly False,"""Missouri still owes $60 million on bonds issued to build the 23-year-old Edward Jones Dome, the former home of the St. Louis Rams.""",Denny Hoskins,Republican,1,0,1,0,0
Mostly True,"""People show up in the emergency room with a sprained ankle, 25 percent get an opioid prescription.""",Joe Biden,Democrat,12,10,23,17,4
False,"Other than University of Virginia’s 2019 basketball team, ""We’ve not had a Virginia team even in the Final Four in over a decade. I think George Mason was the last one…""",Mark Warner,Democrat,3,2,7,3,0
Half-True,"""For every dollar we spend on actual peace creation, we spend over $1,000 on ways to prepare for war.""",Marianne Williamson,none,0,0,2,0,0
Mostly False,"Says presidents George W. Bush and Barack Obama each tried to get immigration bills passed, but ""it did not work because the other party was unwilling to provide the president and his party a victory.""",Howard Schultz,none,1,0,0,1,0
Mostly False,"""Drug prices in this country actually came down last year for the first time in 50 years. That’s because Donald Trump’s president.""",Mick Mulvaney,Republican,5,0,2,0,0
Pants on Fire!,"""Measles kills 11 people in 19 years (since 2000). MMR vaccine kills 445 infants in 1 year (since 2018).""",Viral image,none,10,38,1,3,72
False,Says that the Council on American-Islamic Relations was founded in response to 9/11.,Ilhan Omar,none,1,1,0,1,0
Mostly False,"Says Chicago’s reduction in teen smoking over the last eight years is the ""largest drop in the United States of America.""",Rahm Emanuel,Democrat,4,3,3,2,0
False,"Quotes Thomas Homer-Dixon as saying a windmill will ""never generate as much energy as was invested building it.""",Facebook posts,none,17,46,16,13,67
Half-True,"""Governor Evers' budget would increase property taxes by the largest amount in a decade""",Wisconsin Assembly Republicans,Republican,1,0,1,0,0
False,"""North Carolina last year was second in the nation in overdose deaths""",Harry Brown,Republican,0,1,0,0,0
Mostly False,"Says President Donald Trump ""cut funding from the Justice Department to investigate these domestic terrorist groups, these white supremacist groups.""",Cory Booker,Democrat,1,6,4,10,0
Half-True,"Says William T. Thompson, the designer of the Confederate flag, said, ""As a people we are fighting to maintain the Heaven-ordained supremacy of the white man over the inferior or colored race"" and ""As a national emblem, it is significant of our higher cause, the cause of the superior race.""",Viral image,none,10,38,1,3,72
Pants on Fire!,"A photo of Muslim women with the words ""Down with the USA"" written on their hands was taken in Michigan.",Viral image,none,10,38,1,3,72
Pants on Fire!,Says Jay-Z set up a $15 million trust fund for Nipsey Hussle’s children.,Bloggers,none,29,99,19,16,302
Mostly True,"""We got to almost universal coverage in health care in Colorado.""",John Hickenlooper,none,0,0,1,1,0
Mostly False,"""The F-35 bombers, scheduled to arrive in Burlington this fall, have been designated with a nuclear mission.""",Rachel Siegel,Progressive,1,0,0,0,0
False,"The Southern strategy is a ""myth"" that ""never happened.""",Candace Owens,none,0,1,0,0,0
Mostly True,"""We cut unemployment by more than half"" in South Bend, Ind.",Pete Buttigieg,none,1,0,1,1,0
False,"""Health and Human Services admits they have never conducted federally-required monitoring of vaccine safety for over 30 years.""",Viral image,none,10,38,1,3,72
False,"In 20 years ""there will be enough Muslim voters in the U.S. to elect the president.""",Facebook posts,none,17,46,16,13,67
Pants on Fire!,A photograph shows an undocumented immigrant with smallpox.,Viral image,none,10,38,1,3,72
True,"""Missouri ranks 45th in the nation in per capita state fiscal support for higher education and Missouri State is last among Missouri schools.""",Clif Smart,None,0,0,0,0,0
Half-True,"Says GOP leaders have ""made overtures to meet on a regular basis,"" but Gov. Tony Evers has ""refused to even meet with us.""",Jim Steineke,Republican,0,1,2,0,0
Full Flop,On a bill that would have eased third-trimester abortion resrictions,Terry McAuliffe,Democrat,13,6,2,3,3
False,"Says ""13,506 Marines have applied for White House duty"" since Trump’s inauguration. When Obama was president, ""no Marines volunteered"" but had to be ""assigned.""",Viral image,none,10,38,1,3,72
False,"Says President Barack Obama once said, ""The American dream is to be Donald Trump""",Facebook posts,none,17,46,16,13,67
Mostly False,"Florida ""passed a law where former felons can now vote. We've had more ex-felons register as Republicans than Democrats.""",Jared Kushner,none,1,0,0,0,1
False,"Says President Donald Trump said asylum seekers ""aren't people. These are animals.""",Tweets,none,4,5,1,2,6
False,"Says John F. Kennedy Jr. said, ""If my dear friend Donald Trump ever decided to sacrifice his fabulous billionaire lifestyle to become president he would be an unstoppable force for ultimate justice that Democrats and Republicans alike would celebrate.""",Viral image,none,10,38,1,3,72
False,Photos related to gun violence in present-day United States and the Holocaust in Nazi Germany suggest that gun control laws created or exacerbated the genocide of Jews.,Viral image,none,10,38,1,3,72
Mostly True,"""194,000 criminal aliens booked into Texas jails from 2011-2019 were charged with more than 299,000 criminal offenses.""",Paul Bettencourt,Republican,0,0,0,1,0
Mostly False,"""Beginning in the early 1990s, we built barriers in 4 sectors at our southern border. Since each was built, those sectors have seen massive drops in apprehensions of people crossing the border illegally,"" including 90 percent to 95 percent decreases in the Tucson, Yuma, San Diego and El Paso sectors. ​",Shelley Moore Capito,Republican,2,1,1,1,0
Mostly True,"""The public health science is clear that the use of the addiction medicine buprenorphine saves lives whether that use has been prescribed or not.""",Miro Weinberger,Democrat,0,0,0,2,0
Pants on Fire!,"""The City of Chicago is often bailed out by taxpayers in the rest of the State, such as the $221 million bailout for the CPS (Chicago Public Schools) pension system that was signed into law.""",Brad Halbrook,none,0,0,0,0,1
Mostly True,"""FYI: the last statewide recount in WI was in 2016. After that recount, the vote margin changed by only 131 out of the 2.7 million votes cast.""",Republican Party of Wisconsin,Republican,6,3,5,4,0
Mostly True,"The state budget fully funds ""an initiative to provide free college tuition for illegal immigrants, while rejecting an increase in Tuition Assistance Program funding that would help middle-class families afford college.""",John Flanagan,Republican,0,0,0,1,0
Mostly True,"Abortion providers perform almost 60,000 procedures in Texas every year.",Donna Campbell,Republican,1,1,0,2,0
Half-True,"""Since 1973, the income of the bottom 90 percent, so pretty much all of us, didn’t budge, or even retreated a little bit.""",Pete Buttigieg,none,1,0,1,1,0
Mostly True,"Says that the George W. Bush administration in 2005 revived a long-standing law when it ""decided to charge those that crossed the border with criminal violations, rather than civil ones.""",Julián Castro,Democrat,0,0,5,5,0
False,"""The previous administration under President Barack Obama really was the first time that we didn’t ask a citizenship-type question … for the first time in a century, a citizenship question was not included in 2010.""",Mark Meadows,none,0,1,1,0,0
Mostly False,"In the state rankings for ACT test scores, West Virginia ""is 30th. Which states are listed in the bottom? 15 states with charter schools.""",Mike Romano,Democrat,1,0,0,0,0
True,"""About 80 percent of (the manufacturing and agriculture) tax credit goes to claimants who are making $1 million or more.""",Daniel Riemer,Democrat,0,0,0,0,0
Half-True,"Mergers and integration in agribusiness ""squeeze"" family farms, and ""the result is that farmers are getting a record-low amount of every dollar Americans spend on food.""",Elizabeth Warren,Democrat,0,0,7,6,0
Pants on Fire!,A photograph shows Joe Biden kissing a woman behind Lindsey Graham.,Viral image,none,10,38,1,3,72
Mostly True,"In West Virginia, ""our students enter in at fourth grade the first time they’re tested, 37th or 38th in the nation—which is not good, but it’s not horrible. By the time they’re in the 8th grade, they’re 46th or 47th, and then upon 11th grade testing they’re near last.""",Mitch Carmichael,Republican,0,0,0,1,0
Mostly True,"""We have had an increase of 67 percent (in) the number of children taken into state custody since 2014.""",Jeremiah Samples,None,0,0,0,1,0
Mostly True,"Americans ""would run out of avocados in three weeks"" if imports from Mexico were stopped due to a border closure.",Bloggers,none,29,99,19,16,302
False,"""Hackers are posting sexual videos and pictures on your (Facebook) walls! You don’t see them, but your friends do, then it seems as if you posted it.""",Facebook posts,none,17,46,16,13,67
Mostly True,"""America’s life expectancy has declined for the last three years in a row, the first time in a hundred years, because of surges in suicides and drug overdoses.""",Andrew Yang,none,0,0,0,1,0
False,"Seven days before John F. Kennedy was assassinated he said, ""There’s a plot in this country to enslave every man, woman and child. Before I leave this high and noble office, I intend to expose this plot.""",Viral image,none,10,38,1,3,72
Mostly False,"Says Milwaukee Mayor Tom Barrett did not want a juvenile facility in Milwaukee, ""has never been to a juvenile facility,"" and ""didn't want it to be done.""",Lena Taylor,Democrat,2,1,0,1,1
Pants on Fire!,"Quotes Harriet Tubman as saying, ""I freed a thousand slaves. I could have freed a thousand more if only they knew they were slaves.""",Facebook posts,none,17,46,16,13,67
False,"""When Winston Churchill was asked to cut arts funding in favour of the war effort, he simply replied, ‘then what are we fighting for?’ """,Viral image,none,10,38,1,3,72
False,"Quotes Bernie Sanders as saying, ""Christianity is an insult to Muslims.""",Facebook posts,none,17,46,16,13,67
Pants on Fire!,"Says Alexandria Ocasio-Cortez said, ""We need to repeal Daylight Savings Time as a primary measure to decrease the rate of climate change. Less hours of sun shine equal less heat hitting Earth’s surface.""",Viral image,none,10,38,1,3,72
Pants on Fire!,"""American middle schools caught forcing students to do Muslim prayers 5 times a day.""",Bloggers,none,29,99,19,16,302
False,"""The day Al Gore was born, there were 130,000 glaciers on earth. Today, only 130,000 remain.""",Viral image,none,10,38,1,3,72
Pants on Fire!,The Mueller report was leaked.,Viral image,none,10,38,1,3,72
False,"""Women in Virginia have been incarcerated at an increasingly high rate. It’s around (a) 300 percent increase in the past four or five years.""",Kaye Kory,Democrat,0,1,0,0,0
Mostly False,"""Every single (health care) plan that this White House has ever put forward since Donald Trump was elected covered pre-existing conditions.""",Mick Mulvaney,Republican,5,0,2,0,0
Mostly True,"""In 30 states, average teacher pay is less than the living wage for a family of four.""",Kamala Harris,Democrat,2,4,3,8,0
Pants on Fire!,"Bluegill fish ""are responsible for over 500 deaths in the United States every summer.""",Viral image,none,10,38,1,3,72
False,"Quotes Adolf Hitler as saying the best way to control a people is ""to take a little of their freedom at a time.""",Facebook posts,none,17,46,16,13,67
False,"""Pritzker and Madigan want to change the constitution to allow a permanent jobs tax on middle class families.""",Ideas Illinois,none,0,1,0,0,0
True,"""Right now, 1 in 4 Texas women of reproductive age are uninsured, totaling 1.5 million Texas women.""",John Bucy III,Democrat,0,0,0,0,0
Mostly False,"""It is a carbon tax whether it is convenient to say it or not.""",Scott Beck,none,1,0,0,0,0
True,"For Cabinet posts, ""I have the best voting record against Trump nominees of anyone else running for president""",Kirsten Gillibrand,Democrat,3,0,2,5,0
False,"Says Islamic studies professor Tariq Ramadan said Muslims are here ""to colonize the U.S. and Canada and spread Sharia law"" and won’t ""hesitate to use violent Jihad"" if they have to.",Facebook posts,none,17,46,16,13,67
False,"Says Donna Brazile is a ""criminal.""",Viral image,none,10,38,1,3,72
False,"""President Trump’s wall costs less than the ObamaCare website.""",Facebook posts,none,17,46,16,13,67
True,"Says an ICE detainer request ""is not a valid warrant.""",Quentin Miller,Democrat,0,0,0,0,0
True,"29 states still don’t have ""comprehensive protections"" for people in the LGBTQ community.",Tammy Baldwin,Democrat,12,6,11,12,0
Mostly False,"Says Fred Trump was arrested for ""participating in KKK riot"" in 1927.",Facebook posts,none,17,46,16,13,67
False,"Says Tom Ford said about Melania Trump, ""I have no interest in dressing a glorified escort who steals speeches and has bad taste in men.""",Viral image,none,10,38,1,3,72
False,"Says Trump administration is ""raiding money"" from military service member pensions to pay for the border wall.",Kamala Harris,Democrat,2,4,3,8,0
Half-True,"Says Donald Trump’s health care policies have ""left millions more Americans uninsured since he took office.""",Julián Castro,Democrat,0,0,5,5,0
Pants on Fire!,"Says Adam Schiff used taxpayer money to ""reach a sexual harassment settlement with a 19-year-old male.""",Facebook posts,none,17,46,16,13,67
False,"""President Trump signed legislation to clean up millions of tons of trash from our oceans and lakes last week.""",Viral image,none,10,38,1,3,72
Pants on Fire!,A photograph shows Barack Obama kissing David Cameron.,Viral image,none,10,38,1,3,72
Half-True,"""We have more women in the workforce than ever before.""",West Virginia Republican Party,Republican,0,0,1,4,0
Mostly False,"""The catalytic converter used in automobiles was invented in West Virginia.""",Brian Joseph,None,1,0,0,0,0
False,"Says Samuel L. Jackson said, ""Maybe if we underpaid these modern mumble rappers and overpaid teachers there would be smarter people in the future and less s----- music.""",Viral image,none,10,38,1,3,72
Pants on Fire!,"""Right here (in West Virginia), they are building new houses … so that 321 Syrian Muslims can move down into this neighborhood in two months. … (A funeral home) is to be torn down in two months, and a mosque is going to built there.""",Facebook posts,none,17,46,16,13,67
False,"Says Joseph Stalin said, ""It is enough that the people know there was an election. The people who cast the votes decide nothing. The people who count the votes decide everything.""",Viral image,none,10,38,1,3,72
False,"""Congress quietly repealed the McCarran Warner Act of 1952 forbidding Muslims from holding office.""",Facebook posts,none,17,46,16,13,67
Mostly True,"""Some patients who are on transplant lists for kidney or other organs are being dropped from the list simply because they are shown as a licensed card holder"" for medical marijuana.",Gary Farmer,Democrat,0,0,0,1,0
Half-True,"""We now have several hundred teachers that are over 100 years old and what I've read recently is that a baby born today, their age expectancy is 110, at least.""",Bob Hall,Republican,0,0,1,0,0
Mostly False,"The Trump budget ""cuts $845 billion, almost a trillion dollar cut in Medicare.""",Joe Biden,Democrat,12,10,23,17,4
False,ATM users in distress can enter their PIN backwards to secretly call the police.,Facebook posts,none,17,46,16,13,67
True,"Says ""zero"" African Americans have presented to the House Budget Committee in 2019.",Tommie Pierson Jr.,Democrat,0,0,0,0,0
Mostly False,"""HR 1 is going to take your hard-earned tax dollars and millions more and send them to (a political candidate’s) campaign so (they) can put ads on TV.""",Mark Walker,Republican,2,0,0,0,0
Mostly False,"During his governorship, Virginia made ""the largest investment ever in K-12 education.""",Terry McAuliffe,Democrat,13,6,2,3,3
False,"Shows a photo of two similar Wall Street Journal newspapers with different headlines about President Donald Trump, and describes the editions as, ""Same paper, same dates, different markets. What did you just learn? Feeling manipulated yet?""",Viral image,none,10,38,1,3,72
False,"Says a photograph of Harriet Tubman shows she was a ""gun-toting, Democrat-shooting, 2nd Amendment-supporting Republican.""",Facebook posts,none,17,46,16,13,67
Half-True,"After legalizing marijuana in Colorado, ""we haven't seen a spike in consumption.""",John Hickenlooper,none,0,0,1,1,0
False,"""Nationally, they predict prison populations on the basis of third-grade achievement.""",Toni Preckwinkle,Democrat,1,1,1,0,1
Half-True,"There’s been a ""20 percent increase in young people coming back to Buffalo after a decade where we lost 10 percent of our young people.""",Andrew Cuomo,Democrat,5,3,5,2,0
Half-True,"""I was the first elected Republican in Williamson County history.""",John Carter,Republican,0,3,2,2,2
False,"""We could build 30 walls with the $150 billion Obama gave to Iran.""",Bloggers,none,29,99,19,16,302
Mostly True,"""Right now, only 11 percent of the 15,000 child care providers in Texas are certified as meeting quality standards.""",Children at Risk,Organization,0,0,0,1,0
Pants on Fire!,"Quotes Albert Einstein as saying ""I fear the day technology will surpass human interaction. The world will have a generation of idiots.""",Facebook posts,none,17,46,16,13,67
False,"During her tenure as county attorney in Minnesota, ""there was a 65 percent decrease in incarceration of African-Americans.""",Amy Klobuchar,Democrat,0,1,1,5,0
True,"""We are always going to need architects, doctors, we’re going to need professionals with four-year degrees. But 65 to 70 percent of the people in Missouri don’t have degrees.""",Mike Parson,Republican,0,0,0,0,0
True,"""Over the last eight years, we’ve shown that even though we’ve cut taxes by $8 billion, revenues continue to grow.""",John Nygren,Republican,0,0,2,1,0
False,"""America came along as the first country to end (slavery) within 150 years.""",Katie Pavlich,none,1,1,0,0,1
False,"""Farmer suicide rates are as high as they have been since the Great Depression.""",Cory Booker,Democrat,1,6,4,10,0
Mostly True,"""College debt has increased 170 percent since 2006 and now exceeds $1.5 trillion dollars, which is second only to mortgage debt and surpasses even credit card debt.""",Kamala Harris,Democrat,2,4,3,8,0
False,Says the Looney Tunes cartoon character Yosemite Sam was banned from television for being too violent.,Facebook posts,none,17,46,16,13,67
Mostly True,"""We have flown a Boeing 737 across the Atlantic Ocean on biofuels. We have flown F-18s.""",Jay Inslee,none,0,0,0,3,0
Pants on Fire!,"Says Beto O'Rourke ""gave the remaining $4.5+ mill from his Senate race to (the Texas Democratic Party) a few months ago, & the Party sent the money back to him on the day of his announcement.""",Tweets,none,4,5,1,2,6
Half-True,"Says President Donald Trump’s fiscal year 2020 budget ""slashes investments in health care to pay for tax cuts to billionaires.""",Julián Castro,Democrat,0,0,5,5,0
False,"""Now there is a new threat that we’re seeing up close: the risk of exposure to powerful drugs that can kill in even tiny amounts.""",Matthew Birmingham,None,0,1,0,0,0
Full Flop,Position on Trump’s national emergency declaration for border wall funding,Thom Tillis,Republican,2,1,2,1,0
False,"''Over 40 percent of African-American men in (Milwaukee County) have been going to prison for low-level drug offenses, and I think a hundred times that in the city of Madison.""",David Crowley,Democrat,0,1,0,0,0
Half-True,"""Nearly half of public school teachers in Texas are working a second or a third job, not for kicks, not for extra spending cash, but just to make ends meet.""",Beto O'Rourke,Democrat,2,1,6,4,0
Half Flip,On tax increases.,Levar Stoney,Democrat,1,1,1,0,0
False,"Florida drivers who have their cell phones ""in hand"" can be ticketed $250 and sent to ""driving school.""",Facebook posts,none,17,46,16,13,67
Mostly True,"""We pay far more for health care than any other country in the world, yet we have far worse outcomes than any other country in the world.""",Tulsi Gabbard,Democrat,2,0,0,1,0
Mostly False,"Says that ""despite the tremendous amounts of money that have gone into it, only 400 family (housing) units have been created"" in the last 12 years through Chicago’s Affordable Requirements Ordinance.",Toni Preckwinkle,Democrat,1,1,1,0,1
Half-True,"Says the University of Missouri ""has been cleared of involvement"" in academic fraud involving student athletes.",Vicky Hartzler,Republican,3,0,3,1,0
Mostly True,"I received ""more votes from young people — black, white, Latino, Asian American and Native American — than Donald Trump and Hillary Clinton combined.""",Bernie Sanders,Independent,21,15,32,46,0
Mostly True,"""Seismic airgun blasting (used for energy exploration) is ... 16,000 times louder than"" a conventional airhorn.",Joe Cunningham,Democrat,0,0,0,1,0
Pants on Fire!,"A photograph shows Beto O’Rourke nearly nude with the words ""feminist,"" ""atheist"" and ""slut"" on his body.",Viral image,none,10,38,1,3,72
Pants on Fire!,"Says Prince invested in Nike in 1971, recruited Michael Jordan to the company in 1983 and designed the first Air Jordans.",Facebook posts,none,17,46,16,13,67
False,"""Democrats have forced a special election""",North Carolina Republican Party,Republican,3,3,0,1,0
