American Israel Public Affairs Committee,none,none
American LeadHERship PAC,Organization,Rhode Island
American Life League,none,none
American Petroleum Institute,none,none
American Postal Workers Union,none,none
American Principles in Action,None,"Washington, D.C."
Center for American Progress,Organization,n/a
American Revolution,none,none
American Unity PAC,none,none
AmericanJournalReview.com,none,none
AmericanNews.com,none,none
AmericanPoliticNews,none,none
Americanproud.info,none,none
Americans Against Food Taxes,None,"Washington, D.C."
"Americans For Prosperity, North Carolina chapter",none,none
Americans For Tax Reform,none,none
Americans United for Change,none,none
Americans United for Life,Organization,"Washington, D.C."
Americans for Common Sense Solutions,none,none
Americans for Job Security,none,none
Americans for Prosperity,none,none
Americans for Prosperity Georgia chapter,none,none
Americans for Prosperity: Florida,None,Florida
Americans for Prosperity: New Jersey,none,none
Americans for Responsible Solutions,none,none
Americans for Safe Access,Organization,Washington D.C.
Americans for a Strong Defense,none,none
Americas PAC,none,none
Elizabeth Ames Jones,Republican,Texas
Ron Amstutz,Republican,Ohio
Rafael Anchia,Democrat,Texas
Shirley Anderson,Republican,Florida
Brian Anderson,None,Florida
Thomas Anderson,None,Vermont
Rob Andrews,Democrat,New Jersey
Allen Andrews,Republican,Missouri
Joseph Andriole,Labor leader,Rhode Island
Kathleen Angelucci,Republican,Georgia
Sharron Angle,Republican,Nevada
Ted Ankrum,Democrat,Texas
Kofi Annan,none,none
Frank Annunziato,Labor leader,Rhode Island
Anonymous Caller,none,none
Anonymous Flier,none,none
Anonymous GOP critics,none,none
Anonymous cyber-squatter,None,Unknown
Aziz Ansari,none,none
Susan B. Anthony List,none,none
Anti-Defamation League,none,none
AntiNews.in,none,none
Nickie Antonio,Democrat,Ohio
Julaine Appling,None,Wisconsin
Stephen Archambault,Democrat,Rhode Island
Natalyn Archibong,None,Georgia
Texans Are,Republican,Virginia
Diego Arene-Morley,Activist,"Washington, D.C."
Arizona Citizens Defense League,none,none
Arizona Grassroots Action PAC,none,none
Dick Armey,none,none
Ward Armstrong,Democrat,Virginia
Dave Aronberg,Democrat,Florida
Joe Arpaio,none,none
AsAmericanAsApplePie.org,none,none
Larry Ashley,Republican,Florida
Reza Aslan,None,California
Julian Assange,none,none
Mark Assini,Republican,New York
Associated Industries of Florida,Organization,Florida
GSU Alumni Association,none,none
Texas Association of Business,None,Texas
Association of Mature American Citizens,Organization,"Washington, D.C. "
Texas Association of School Boards,None,Texas
Rob Astorino,Republican,New York
Robert Astorino,Republican,New York
Athens Banner-Herald,none,none
Joe Atkins,none,none
Atlanta Braves,none,none
Atlanta Journal-Constitution,none,none
Atlanta Police Foundation,none,none
Atlanta Sports Council,none,none
Atlanta neighborhood association,none,none
Gayle Atteberry,none,none
Jeff Atwater,Republican,Florida
James Aubin,Activist,Rhode Island 
Richard August,Talk show host,Rhode Island
Loranne Ausley,Democrat,Florida
Bike Austin,None,Texas
City of Austin,None,Texas
Austin Water Utility,none,none
Austin for a Better Future,none,none
Austinites for Geographic Representation,none,none
Texas Automobile Dealers Association,None,Texas
Brad Avakian,none,none
Ax The Bev Tax,None,Pennsylvania
David Axelrod,none,none
John Axford,None,Wisconsin
Carla Axtman,Columnist,Oregon
Jimmie Don Aycock,Republican,Texas
Kelly Ayotte,Republican,New Hampshire
B.o.B.,none,none
Paul Babeu,none,none
Baby Got PAC,none,none
Babylon Bee,none,none
Dino Baccari,Activist,Rhode Island
Michele Bachmann,Republican,Minnesota
Spencer Bachus,Republican,Alabama
Back to Basics,Democrat,Texas
Don Bacon,none,none
Don Bacon,none,none
Bret Baier,none,none
Scott Baio,none,none
Charlie Baird,Democrat,Texas
Thurbert Baker,Democrat,Georgia
Rick Baker,None,Florida (FL)
Graham Balch,Democrat,Georgia
Lisa Baldelli-Hunt,Democrat,Rhode Island
Troy Balderson,Republican,Ohio
Tammy Baldwin,Democrat,Wisconsin
Chuck Baldwin,none,none
Don Balfour,none,none
Adan Ballesteros,Democrat,Texas
Ban the Box RI,Organization,Rhode Island
Steve Bannon,none,none
Trebor Banstetter,None,Georgia
Justin Barasky,Democrat,Washington D.C.
William Barber,Activist,North Carolina
Robert Barber,Newsmaker,Rhode Island
Rick Barber,Republican,Alabama
Haley Barbour,Republican,Mississippi
Peter Barca,Democrat,Wisconsin
John Barge,Republican,Georgia
George Barker,Democrat,Virginia
Jim Barksdale,Democrat,Georgia
Lou Barletta,Republican,Pennsylvania
Lou Barletta,Republican,Pennsylvania
Roy Barnes,Democrat,Georgia
Sharon Barnes Sutton,none,none
William Barr,none,none
Bob Barr,Libertarian,Georgia
John Barrasso,Republican,Wyoming
Vincent Barrella,Independent,New Jersey
Tom Barrett,Democrat,Wisconsin
Jimmy Barrett,None,Virginia
Gonzalo Barrientos,none,none
John Barrow,Democrat,Georgia
Maria Bartiromo,Journalist,New York
Joe Barton,Republican,Texas
Brent Barton,none,none
David Barton,Republican,Texas
Jeff Bartos,Republican,Pennsylvania
Dana Bash,none,none
Basic Rights Oregon,Democrat,Oregon
Charles Bass,Republican,New Hampshire
Karen Bass,Democrat,California
Sydney Batch,Democrat,North Carolina
William G. Batchelder,Republican,Ohio
Raymond Bateman,none,none
Alan Bates,Democrat,Oregon
Battleground Texas,Democrat,Texas
Kurt Bauer,None,Wisconsin
Jon “Bowzer” Bauman,none,none
Dennis Baxley,Republican,Florida
Evan Bayh,Democrat,Indiana
Angela Bean,Republican,Georgia
Bear Education and Resource Group,None,New Jersey
Jason Beardsley,none,none
Chaz Beasley,none,none
Joyce Beatty,Democrat,Ohio
Heather Beaven,Democrat,Florida
Beaverton,None,Oregon
Xavier Becerra,Democrat,California
Jennifer Beck,none,none
Glenn Beck,none,none
Scott Beck,none,none
Bob Beckel,Democrat,"Washington, D.C."
Dan Becker,none,none
David Beckham,none,none
Becoming American Initiative,none,none
Paul Bedard,none,none
Samantha Bee,none,none
Paul Begala,Democrat,Texas
Mark Begich,Democrat,Alaska
Joy Behar,none,none
Marty Beil,none,none
Peter Beinart,none,none
Bill Belichick,none,none
James Bell,None,Georgia
Rebecca Bell-Metereau,Democrat,Texas
Mark Belling,Talk show host,Wisconsin
Lizbeth Benacquisto,Republican,Florida
Lauren Benedict,Democrat,Georgia
Regina Benjamin,none,none
Michael Bennet,Democrat,Colorado
Mike Bennett,Republican,Florida
Bob Bennett,Republican,Ohio
Robert Bennett,Republican,Utah
Bill Bennett,None,District of Columbia
James Bennett,Newsmaker,Rhode Island
Holly Benson,Republican,Florida
Ami Bera,Democrat,California
Phil Berger,Republican,North Carolina
Ron Bergeron,none,none
Charlotte Bergmann,Republican,Tennessee
Andy Berke,Democrat,Tennessee
John Berlau,none,none
Mike Berlon,Democrat,Georgia
Leo Berman,Republican,Texas
Penny Bernard Schaber,none,none
Joe Berrios,Democrat,Illinois
Jack Berry,None,Virginia
Carlos Beruff,Republican,Florida
Richard Besser,none,none
Sally Bethea,none,none
Charlie Bethel,Republican,Georgia
Paul Bettencourt,Republican,Texas
Better Austin Today Political Action Committee,none,none
Matt Bevin,Republican,Kentucky
Janet Bewley,none,none
Don Beyer,Democrat,Virginia
Joe Biden,Democrat,Delaware
Big Gamble NJ ,None,New Jersey
BikePortland.org,None,Oregon
Carl Bildt,None,Sweden
Gus Bilirakis,Republican,Florida
Billboard,none,none
Bipartisan Report,none,none
Jeremy Bird,Democrat,Illinois
Brian Birdwell,Republican,Texas
Matthew Birmingham,None,Vermont
JoAnn Birrell,Republican,Georgia
Mike Bishop,Republican,Michigan
Barney Bishop,None,Florida
Sanford Bishop,Democrat,Georgia
Daniel Biss,Democrat,Illinois
Brett Bittner,none,none
Ben Bius,Republican,Texas
Gary Black,Republican,Georgia 
Diane Black,Republican,Tennessee
Dick Black,none,none
Black Lives Matter,none,none
BlackInsuranceNews.com,none,none
Marsha Blackburn,Republican,Tennessee
Ken Blackwell,none,none
Rod Blagojevich,none,none
Lisa Blais,Ocean State Tea Party in Action,Rhode Island
Brad Blakeman,none,none
Rebecca Blank,none,none
Don Blankenship,none,none
Christopher Blazejewski,Democrat,Rhode Island
Bling News,none,none
Wolf Blitzer,none,none
Kenneth Block,none,none
Trey Blocker,Republican,Texas
Bloggers,none,none
Lisa Bloom,None,California
Michael Bloomberg,Democrat,New York
Bloomberg.com,none,none
Kevin Bloye,none,none
Dan Blue,Democrat,North Carolina
Blue Oregon,Democrat,Oregon
BlueNC,Democrat,North Carolina
Bluedot Daily,none,none
Rod Blum,Republican,Iowa
Earl Blumenauer,Democrat,Oregon
Richard Blumenthal,Democrat,Connecticut
Roy Blunt,Republican,Missouri
Austin Board of Realtors PAC,None,Texas
John Boccieri,Democrat,Ohio
Mike Bodker,none,none
John Boehner,Republican,Ohio
Ellyn Bogdanoff,Republican,Florida 
Jack Bogdanski,None,Oregon
Dwayne Bohac,Republican,Texas
Jim Bohl,None,Wisconsin
David Boies,Democrat,New York
Kitty Boitnott,None,Virgina
Eric Bolling,none,none
Chris Bollwage,none,none
Usain Bolt,none,none
John Bolton,none,none
Valinda Bolton,Democrat,Texas
Suzanne Bonamici,Democrat,Oregon
Julian Bond,none,none
Michael Julian Bond,none,none
Pam Bondi,Republican,Florida
Barry Bone,None,Texas
Dennis Bonnen,Republican,Texas
Bono,none,none
Ron Book,None,Florida
Cory Booker,Democrat,New Jersey
BookerFail,none,none
Pat Boone,none,none
Lisa Boothe,none,none
John Boozman,Republican,Arkansas
Dan Boren,Democrat,Oklahoma
BornAliveTruth.org,none,none
Andy Borowitz,None,New York
Tom Bossert,none,none
Mike Bost,Republican,Illinois
Beverly Boswell,Republican,North Carolina
Keisha Lance Bottoms,none,none
Jonathan Boucher,Democrat,Rhode Island
Rick Boucher,Democrat,Virginia
Charles Boustany,Republican,Louisiana
Rob Bovett,None,Oregon
David Bowen,Democrat,Wisconsin
Chris Bowers,none,none
Nikki Bowmar,None,West Virginia
Barbara Boxer,Democrat,California
Kevin Boyce,Democrat,Ohio
Allen Boyd,Democrat,Florida
Elaine Boyer,none,none
Brendan Boyle,Democrat,Pennsylvania
Randolph Bracy,Democrat,Florida
Barth Bracy,Activist,Rhode Island
Bill Bradbury,Democrat,Oregon
John Bradley,Republican,Texas
Rebecca Bradley,none,none
Eileen Brady,none,none
Bill Brady,Republican,Illinois
Kevin Brady,Republican,Texas
Brady Campaign to Prevent Gun Violence,none,none
Bruce Braley,Democrat,Iowa
Jon Bramnick,Republican,New Jersey
Dan Branch,Republican,Texas
Russell Brand,none,none
Jeff Brandes,Republican,Florida
Dave Brat,Republican,Virginia
Mike Braun,none,none
Donna Brazile,Democrat,"Washington, D.C."
BreakingNews247.net,none,none
Phil Bredesen,Democrat,Tennessee
Brittany Brees,None,Louisiana
Drew Brees,None,Louisiana
Breitbart,none,none
Ian Bremmer,None,New York
Jan Brewer,Republican,Arizona
Parker Briden,Republican,Missouri
Jim Bridenstine,Republican,Oklahoma
Jeff Bridges,none,none
Jon Brien,Democrat,Rhode Island
Anthony Brindisi,Democrat,New York
Morgan Brittany,none,none
Mark Brodeur,State official,Rhode Island
Jason Brodeur,Republican,Florida
Frank Brogan,Republican,Florida
Brookhaven,none,none
Cornell William Brooks,none,none
Tyrone Brooks,Democrat,Georgia
Mo Brooks,Republican,Alabama
Jace Brooks,Republican,Georgia
David Brooks,none,none
Jonathan Brostoff,none,none
Paul Broun,Republican,Georgia
Broward County Medical Association,Organization,Florida
Broward County Police Benevolent Association,None,Florida
Broward Democratic Executive Committee,Democrat,Florida
Broward Republican Executive Committee,Republican,Florida
Thomas Brown,Democrat,Georgia
Scott Brown,Republican,New Hampshire
Jeffrey Brown,None,Pennsylvania
Jordan Brown,None,Texas
Robert Brown,Democrat,Georgia
Andy Brown,Democrat,Texas
Jerry Brown,Democrat,California
Kate Brown,Democrat,Oregon
Steven Brown,Newsmaker,Rhode Island
John Brown,none,none
Steve Brown,Republican,Georgia
Byron Brown,Democrat,New York
Joe Brown,Democrat,Tennessee
Dorothy Brown,none,none
Corrine Brown,Democrat,Florida
Sherrod Brown,Democrat,Ohio
James Brown,none,none
Harry Brown,Republican,North Carolina
Ginny Brown-Waite,Republican,Florida
Sam Brownback,Republican,Kansas
Carol Browner,none,none
Kurt Browning,Republican,Florida
Ronald Brownstein,none,none
Scott Bruun,Republican,Oregon
Randy Bryce,none,none
Mika Brzezinski,none,none
Anthony Bucco,Republican,New Jersey
James Buchal,Republican,Oregon
Vern Buchanan,Republican,Florida
Pat Buchanan,none,none
Ken Buck,Republican,Colorado
Bob Buckhorn,None,Florida
Dawn Buckingham,Republican,Texas
Allen Buckley,Libertarian,Georgia 
Gail Buckner,Democrat,Georgia
Steve Buckstein,Newsmaker,Oregon
John Bucy III,Democrat,Texas
Ted Budd,Republican,North Carolina
Armond Budish,Democrat,Ohio
Knute Buehler,Republican,Oregon
Ann Marie Buerkle,Republican,New York
Warren Buffett,None,Nebraska
Building a Better Ohio,None,Ohio
Steve Bullock,none,none
Bumper Sticker,none,none
Barbara Buono,Democrat,New Jersey
Ginny Burdick,none,none
U.S. Census Bureau,None,Maryland
Burger King,None,Florida
Michael Burgess,Republican,Texas
Josh Burgin,Republican,Florida
Stu Burguiere ,none,none
Mary Burke,Democrat,Wisconsin
Eric Burlison,Republican,Missouri
Lon Burnam,Democrat,Texas
Tim Burns,none,none
Nicholas Burns,none,none
Burnt Orange Report,none,none
Richard Burr,Republican,North Carolina
Phil Burress,Republican,Ohio
Bill Burton,none,none
John Burton,Democrat,California
John Burzichelli,none,none
George W. Bush,Republican,Texas
Jeb Bush,Republican,Florida
George P. Bush,Republican,Texas
John Buss,None,Florida
Jerome Buting,none,none
Mark Butler,none,none
Marc Butler,Republican,New York
Pete Buttigieg,none,none
Viral BuzzFeed,None,Georgia
BuzzFeed,none,none
BuzzFeedUSA.com,none,none
Andrew Byrd,Democrat,West Virginia
CATPAC,Organization,Texas
CNN,none,none
CNNews3.com,none,none
CNSNews,none,none
"CQ Press City Crime Rankings, 2010-2011",none,none
CSC Mediagroup.USA,none,none
Casey Cagle,none,none
Kevin Cahill,Democrat,New York
Herman Cain,Republican,Georgia
Matt Caldwell,Republican,Florida
Californians for Lower Drug Prices,none,none
John Calipari,none,none
Kevin Cameron,Republican,Oregon 
Lee Camp,none,none
Campaign Money Watch,none,none
Campaign for America's Future,none,none
Campaign for Liberty,none,none
Campaign for Liberty - Georgia,None,Georgia
Campaign for Primary Accountability,None,Texas
Campaign to Defend America,None,"Washington, D.C."
Donna Campbell,Republican,Texas
Stacey Campfield,Republican,Tennessee
Rachel Campos-Duffy,none,none
Dean Cannon,Republican,Florida
Steve Cannon,None,Georgia
Michael Cannon,none,none
Ben Cannon,Democrat,Oregon
David Canon,Newsmaker,Wisconsin
Tim Canova,Democrat,Florida
"Francisco ""Quico"" Canseco",Republican,Texas
Eric Cantor,Republican,Virginia
Maria Cantwell,none,none
Tony Capezza,None,Rhode Island
Shelley Moore Capito,Republican,West Virginia
Lois Capps,Democrat,California
James Capretta,none,none
Frank Caprio,Democrat,Rhode Island
Michael Caputo,Republican,New York
Donald Carcieri,Republican,Rhode Island
Al Cardenas,none,none
Ben Cardin,Democrat,Maryland
Matthew Charles Cardinale,none,none
Maria Cardona ,none,none
Protect Our Care,none,none
Michael Cargill,none,none
Barbara Cargill,Republican,Tennesse
John Carlevale,Republican,Rhode Island
Gretchen Carlson,None,Minnesota
Pat Carlson,Republican,Texas
Margaret Carlson,None,District of Columbia
Tucker Carlson,none,none
Mitch Carmichael,Republican,West Virginia
Russ Carnahan,Democrat,Missouri
Jay Carney,None,District of Columbia
Amanda Carpenter,none,none
Chris Carpenter,Democrat,Georgia
James Carr,Libertarian,Virginia
Jim Carrey,none,none
Jose Carrillo,None,Texas
Morgan Carroll,Democrat,Colorado
Jennifer Carroll,Republican,Florida
Ben Carson,none,none
André Carson,none,none
Meria Carstarphen,None,Texas
Jason Carter,Democrat,Georgia
Buddy Carter,none,none
Stefani Carter,Republican,Texas
Jimmy Carter,Democrat,Georgia
John Carter,Republican,Texas
Liz Carter,Republican,Georgia
Stephen Carter,none,none
Alberto Carvalho,None,Florida
James Carville,Democrat,Louisiana
Caroline Casagrande,Republican,New Jersey
Greg Casar,None,Texas
Jean Casarez,none,none
Cascade Policy Institute,none,none
Steve Case,none,none
Bob Casey,Democrat,Pennsylvania
Kriner Cash,none,none
Bill Cassidy,Republican,Louisiana
Kelly Cassidy,Democrat,Illinois
Alex Castellanos,none,none
Sean Casten,none,none
Kathy Castor,Democrat,Florida
"Ron Castorina, Jr.",Republican,New York
Julián Castro,Democrat,Texas
Raúl Castro,none,none
Joaquin Castro,Democrat,Texas
Cato Institute,none,none
David Caton,Republican,Florida
Causa Oregon,Organization,Oregon
Chad Causey,Democrat,Arkansas
Neil Cavuto,none,none
James Cenerini,Labor leader,Rhode Island
Center for American Progress Action Fund,none,none
Center for Individual Freedom,none,none
Central Falls Police Department,none,none
Mike Cernovich,None,California
Michael Cerullo,None,Rhode Island
Steve Chabot,Republican,Ohio
Samir Chachoua,none,none
Lincoln Chafee,Democrat,Rhode Island
Jason Chaffetz,Republican,Utah
Chain email,none,none
Gordon Challstrom,Republican,Oregon
Jill Chambers,Republican,Georgia
Saxby Chambliss,Republican,Georgia
Ronnie Chance,Republican,Georgia
ChangeAustin.org,None,Texas
Channel24News.com,none,none
The University of North Carolina Chapel Hill,None,NC
Jeff Chapman,Republican,Georgia
John Charles,Libertarian,Oregon
Jay Chaudhuri,Democrat,North Carolina
Dominic Chavez,None,Texas
Linda Chavez-Thompson,Democrat,Texas
Brahma Chellaney,none,none
Hagar Chemali,None,Connecticut
Dick Cheney,none,none
Liz Cheney,none,none
John Chiang,Democrat,California
Gen. Peter Chiarelli,none,none
Gery Chico,none,none
Children at Risk,Organization,Texas
Children's Healthcare of Atlanta,none,none
Bud Chiles,Independent,Florida
Michael Chippendale,Republican,Rhode Island
John Chisholm,none,none
Kari Chisholm,Democrat,Oregon
Warren Chisum,Republican,Texas
Gary Chiusano,Republican,New Jersey
Joseph Chiusolo,Republican,New Jersey
Upendra Chivukula,Democrat,New Jersey
Chris Chocola,Republican,Indiana
Robert Chody,Republican,Texas
Choose: New Jersey,None,New Jersey
Wayne Christian,Republican,Texas
Christian Broadcasting Network,Organization,Virginia
Christians for Michele Bachmann,none,none
Chris Christie,Republican,New Jersey
Ron Christie,none,none
Steven Chu,Democrat,California
Judy Chu,Democrat,California
"Vincent ""Buddy"" Cianci",Independent,Rhode Island
David Cicilline,Democrat,Rhode Island
Jackie Cilley,Democrat,New Hampshire
Nick Ciparro,Republican,Tennessee
Gil Cisneros,Democrat,California
Henry Cisneros,Democrat,Texas
Gil Cisneros,Democrat,California
Gil Cisneros,Democrat,California
Citizen Action of Wisconsin,none,none
Citizens United Political Victory Fund,Republican,"Washington, D.C."
Citizens for Fairness,None,Florida
Citizens for Lower Taxes and a Stronger Economy,None,Florida
Citizens for Transportation Mobility,None,Georgia
Citizens for a Progressive Wisconsin ,None,Wisconsin
Citizens for a Strong America,None,Wisconsin
Citizens for the Republic,None,Virginia
Citizens to Protect Transportation Funding,Organization,Illnois
Citizens to Protect Transportation Funding,Organization,Illnois
Citizens to Protect Transportation Funding,Organization,Illnois
City of Atlanta,none,none
Civitas Institute,None,North Carolina
Clackamas County Commission,none,none
Clackamas County Democrats,none,none
Fred Clark,Democrat,Wisconsin
Charles Clark,none,none
Chris Clark,None,Georgia
Wesley Clark,Democrat,Arkansas
Amy Clark Meachum,Democrat,Texas
Richard Clarke,none,none
David A. Clarke Jr.,Activist,Wisconsin
Dave Claunch,None,Texas
William Lacy Clay,Democrat,Missouri
Mark Clayton,Democrat,Tennessee
Clayton County Government,None,Georgia
Clayton County Schools,None,Georgia
Clean Virginia,none,none
Clean Water Portland,none,none
CleanTV,none,none
CleanTV,none,none
Emanuel Cleaver,Democrat,Missouri
Bill Clegg,Republican,Rhode Island
Brian Clem,Democrat,Oregon
Jeff Clemens,Democrat,Florida
NextGen Climate,none,none
Chelsea Clinton,none,none
Bill Clinton,Democrat,Arkansas
Hillary Clinton,Democrat,New York
Katherine Cloonen,Democrat,Illinois
George Clooney,Democrat,California
Club for Growth,none,none
James Clyburn,Democrat,South Carolina
Kathleen Clyde,Democrat,Ohio
Coalition for Fair Budget Priorities,Organization,Oregon
Coalition for Public Schools Coalition for Public Schools,none,none
Coalition to Bring Jobs to R.I.,Organization,Rhode Island
Coalition to Stop Gun Violence,none,none
Dan Coats,Republican,Indiana
Gary Cobb,Democrat,Texas
Victoria Cobb,none,none
Sue Bell Cobb,none,none
Tom Coburn,Republican,Oklahoma
Thad Cochran,Republican,Mississippi
Richard Codey,Democrat,New Jersey
Mike Coffman,Republican,Colorado
Mike Coffman,Republican,Colorado
Jeff Cogen,None,Oregon
Elizabeth Coggs,none,none
Milele Coggs,None,Wisconsin
Michael Cohen,None,New York
Steve Cohen,Democrat,Tennessee
Elizabeth Cohen,none,none
Mandy Cohen,Democrat,North Carolina
Lesley Cohen,Democrat,Nevada
Stephen Colbert,none,none
Elizabeth Colbert Busch,Democrat,South Carolina
Susan Cole,none,none
Tom Cole,Republican,Oklahoma
Bob Cole,None,Texas
Sheryl Cole,Democrat,Texas
Linda Coleman,none,none
Garnet Coleman,Democrat,Texas
Mary Elizabeth Coleman,Republican,Missouri
Tom Colicchio ,None,New York
College presidents,none,none
Mike Collier,Democrat,Texas
Loren Collins,Libertarian,Georgia
Mike Collins,Republican,Georgia
Doug Collins,Republican,Georgia
Chris Collins,Republican,New York
Gail Collins,Journalist,New York
Abel Collins,Independent,Rhode Island
Susan Collins,Republican,Maine
Jacqueline Collins ,Democrat,Illinois
Color of Change,none,none
Colorado Citizens for Accountable Government,none,none
Colorado Citizens for Accountable Government,none,none
Colorado Democratic Party,Democrat,Colorado 
Colorado Health Institute,none,none
Colorado's Voice,none,none
Courtney Combs,Republican,Ohio
Susan Combs,Republican,Texas
Committee for Florida's Education,none,none
Committee for Our Children's Future,None,New Jersey
Committee to Protect Florida,None,Florida
Common Cause,none,none
Common Sense Kids Action,none,none
Common Sense Now,None,Florida
Commonsense Ten,none,none
Competitive Enterprise Institute,none,none
Barbara Comstock,Republican,Virginia
Herb Conaway Jr.,Democrat,New Jersey
Concerned Taxpayers of America,Republican,Oregon
Concerned Veterans for America,none,none
Concerned Women for America,None,"Washington, D.C."
Concernedcitizen4U,none,none
Jason Conger,Republican,Oregon
Congressional Leadership Fund,none,none
Colleen Conley,Tea Party member,Rhode Island
Kathleen Connell,Democrat,Rhode Island
Jack Conners,none,none
Gerry Connolly,Democrat,Virginia
Kent Conrad,Democrat,North Dakota
Jody Conradt,None,Texas
Conservative Daily Post,Organization,Nevada
Conservative Renewal PAC,Republican,Texas
Conservative Republicans of Texas PAC,Republican,Texas
Conservative Solutions PAC,Organization,Florida
Conservative Stories,none,none
Conservative Tribune,None,Arizona
Conservative Voters of Texas PAC,none,none
Conservatives for Patients' Rights,none,none
Constitutional Rights PAC,none,none
Consumers for Smart Solar,none,none
Jack Conway,Democrat,Kentucky
Kellyanne Conway,none,none
Butch Conway,Republican,Georgia
"John Conyers, Jr.",Democrat,Michigan
Tim Cook,None,California
Matthew Cooke,none,none
Edward Cooney,Democrat,Rhode Island
Chris Coons,Democrat,Delaware
Roy Cooper,Democrat,North Carolina
Jim Cooper,Democrat,Tennessee
Charles Cooper,none,none
Sarah Copelin-Wood,none,none
Tom Corbett,Republican,Pennsylvania
Richard Corcoran,Republican,Florida
James Corden,none,none
Richard Cordray,Democrat,Ohio
Marie Corfield,Democrat,New Jersey
Bob Corker,none,none
David Corn,none,none
Corn Commentary,none,none
Rob Cornilles,Republican,Oregon
John Cornyn,Republican,Texas
Jerome R. Corsi,Constitution Party,New Jersey
Bob Cortes,Republican,Florida
Steve Cortes,none,none
John Cortes,Democrat,Florida
Catherine Cortez Masto,Democrat,Nevada
Jon Corzine,none,none
Doreen Costa,Republican,Rhode Island
Gregory J. Costantino,Democrat,Rhode island
Steven Costantino,Democrat,Rhode Island
David Cote,none,none
Tom Cotton,Republican,Arkansas
Kevin Coughlin,Republican,Ohio
Ann Coulter,Republican,New York
Council for the National Interest,none,none
Oklahoma Council of Public Affairs,none,none
County Line,none,none
CountyNewsroom.info,none,none
Courageous Conservatives PAC,none,none
Peter Courtney,none,none
Ertharin Cousin,none,none
Cover Oregon,Organization,Oregon
Sid Covington,None,Texas
Robert Cowles,Republican,Wisconsin
Tim Cowlishaw,none,none
John Cox,Republican,California
Edward Cox,Republican,New York
Chris Cox,none,none
Clay Cox,none,none
Kirk Cox,Republican,Virginia
Christopher Coyne,None,Vermont
Tom Craddick,Republican,Texas
David Craig,Republican,Wisconsin
Andy Craig,Libertarian,Wisconsin
Kevin Cramer,Republican,North Dakota
Jan Crawford,none,none
Creative Advocacy Network,None,Oregon
Credo Action,none,none
Dan Crenshaw,Republican,Texas
Crime Victims United of Oregon,None,Oregon
